Time,Id
0.001,-0.000194949
0.002,-9.93753E-05
0.003,-5.7877E-05
0.004,-3.39421E-05
0.005,-1.92321E-05
0.006,-1.00626E-05
0.007,-4.68836E-06
0.008,-1.64109E-06
0.009,3.53483E-07
0.01,1.18456E-06
0.011,1.82171E-06
0.012,2.15414E-06
0.013,2.07103E-06
0.014,2.23725E-06
0.015,2.32036E-06
0.016,2.34806E-06
0.017,2.40346E-06
0.018,2.43116E-06
0.019,2.40346E-06
0.02,2.29265E-06
0.021,2.32036E-06
0.022,2.45887E-06
0.023,2.40346E-06
0.024,2.20955E-06
0.025,2.40346E-06
0.026,2.32036E-06
0.027,2.29265E-06
0.028,2.34806E-06
0.029,2.29265E-06
0.03,2.40346E-06
0.031,2.43116E-06
0.032,2.48657E-06
0.033,2.45887E-06
0.034,2.54197E-06
0.035,2.51427E-06
0.036,2.29265E-06
0.037,2.62508E-06
0.038,2.48657E-06
0.039,2.54197E-06
0.04,2.45887E-06
0.041,2.45887E-06
0.042,2.32036E-06
0.043,2.40346E-06
0.044,2.40346E-06
0.045,2.40346E-06
0.046,2.40346E-06
0.047,2.48657E-06
0.048,2.43116E-06
0.049,2.54197E-06
0.05,2.51427E-06
0.051,2.45887E-06
0.052,2.65278E-06
0.053,2.51427E-06
0.054,2.45887E-06
0.055,2.51427E-06
0.056,2.43116E-06
0.057,2.37576E-06
0.058,2.43116E-06
0.059,2.26495E-06
0.06,2.45887E-06
0.061,2.37576E-06
0.062,2.45887E-06
0.063,2.51427E-06
0.064,2.54197E-06
0.065,2.40346E-06
0.066,2.68049E-06
0.067,2.45887E-06
0.068,2.45887E-06
0.069,2.65278E-06
0.07,2.48657E-06
0.071,2.45887E-06
0.072,2.54197E-06
0.073,2.40346E-06
0.074,2.43116E-06
0.075,2.37576E-06
0.076,2.37576E-06
0.077,2.54197E-06
0.078,2.37576E-06
0.079,2.43116E-06
0.08,2.54197E-06
0.081,2.51427E-06
0.082,2.48657E-06
0.083,2.62508E-06
0.084,2.68049E-06
0.085,2.48657E-06
0.086,2.54197E-06
0.087,2.56968E-06
0.088,2.48657E-06
0.089,2.45887E-06
0.09,2.48657E-06
0.091,2.29265E-06
0.092,2.48657E-06
0.093,2.43116E-06
0.094,2.40346E-06
0.095,2.56968E-06
0.096,2.51427E-06
0.097,2.59738E-06
0.098,2.51427E-06
0.099,2.65278E-06
0.1,2.59738E-06
0.101,-0.000170598
0.102,-0.001069736
0.103,-0.00186161
0.104,-0.002501037
0.105,-0.002992257
0.106,-0.003370755
0.107,-0.003679858
0.108,-0.003948101
0.109,-0.004190026
0.11,-0.004412892
0.111,-0.004619442
0.112,-0.004809397
0.113,-0.004982177
0.114,-0.005137394
0.115,-0.005275214
0.116,-0.005396356
0.117,-0.005502429
0.118,-0.00559429
0.119,-0.005674101
0.12,-0.005743191
0.121,-0.005802945
0.122,-0.005854859
0.123,-0.005899876
0.124,-0.005939158
0.125,-0.005973232
0.126,-0.006003067
0.127,-0.006029689
0.128,-0.006052516
0.129,-0.006073016
0.13,-0.006091299
0.131,-0.006107394
0.132,-0.006121744
0.133,-0.006134543
0.134,-0.006146372
0.135,-0.006156317
0.136,-0.006165653
0.137,-0.006174046
0.138,-0.006181831
0.139,-0.006188646
0.14,-0.006194934
0.141,-0.006200835
0.142,-0.006205849
0.143,-0.006210724
0.144,-0.006214824
0.145,-0.006218952
0.146,-0.00622247
0.147,-0.006225878
0.148,-0.006228897
0.149,-0.006231612
0.15,-0.006234493
0.151,-0.006236903
0.152,-0.006239396
0.153,-0.006241613
0.154,-0.006243773
0.155,-0.006245325
0.156,-0.006247347
0.157,-0.006248926
0.158,-0.00625009
0.159,-0.006251973
0.16,-0.006253137
0.161,-0.006254356
0.162,-0.006255686
0.163,-0.006256849
0.164,-0.006257542
0.165,-0.00625876
0.166,-0.00625973
0.167,-0.006260838
0.168,-0.006261725
0.169,-0.00626214
0.17,-0.006263359
0.171,-0.006264107
0.172,-0.006265187
0.173,-0.006265631
0.174,-0.006266351
0.175,-0.006266822
0.176,-0.006267791
0.177,-0.006267985
0.178,-0.006268678
0.179,-0.00626926
0.18,-0.006269398
0.181,-0.006270146
0.182,-0.006270562
0.183,-0.006271116
0.184,-0.006271614
0.185,-0.006272141
0.186,-0.006272612
0.187,-0.006273
0.188,-0.00627347
0.189,-0.006273941
0.19,-0.006274108
0.191,-0.006274745
0.192,-0.006274994
0.193,-0.006275631
0.194,-0.006275687
0.195,-0.006276074
0.196,-0.006276296
0.197,-0.006276296
0.198,-0.006276933
0.199,-0.006277099
0.2,-0.00627757
0.201,-0.006173354
0.202,-0.005545007
0.203,-0.00475499
0.204,-0.00370745
0.205,-0.002504971
0.206,-0.001432444
0.207,-0.000710269
0.208,-0.000321549
0.209,-0.000138934
0.21,-5.82926E-05
0.211,-2.37753E-05
0.212,-8.6221E-06
0.213,-2.36135E-06
0.214,4.08888E-07
0.215,1.46158E-06
0.216,1.82171E-06
0.217,1.90482E-06
0.218,1.96022E-06
0.219,1.84941E-06
0.22,1.96022E-06
0.221,2.01563E-06
0.222,1.90482E-06
0.223,2.09874E-06
